nft_collection_name,nft_type,verified,tradeport_url
DeLorean Time Capsule,0xa1d5e3f98eb588b245a87c02363652436450aedb62ef1a7b018f16e6423059,True,https://www.tradeport.xyz/sui/collection/0xa1d5e3f98eb588b245a87c02363652436450aedb62ef1a7b018f16e6423059
AZUR GUARDIANS,0xfc9d0c6972cae3f303030b993485af37e2d86ebf3b409d1e6a40cde955a43a77,True,https://www.tradeport.xyz/sui/collection/0xfc9d0c6972cae3f303030b993485af37e2d86ebf3b409d1e6a40cde955a43a77
SUI Moonlit ,0xbf513df5b2893d87ad37b3097507a5efaa19f44d8b94af03c1174c140a4c57c9,True,https://www.tradeport.xyz/sui/collection/0xbf513df5b2893d87ad37b3097507a5efaa19f44d8b94af03c1174c140a4c57c9
COV.ENT,0xa03833811a308d67194ad4ff7e6234437473a90a26aa440181611da28345cfc5,True,https://www.tradeport.xyz/sui/collection/0xa03833811a308d67194ad4ff7e6234437473a90a26aa440181611da28345cfc5
AGENTS,0x7f70b2de52a5a57c1b7afec08466af51217e40f083bd52dcaafd8ba53975481d,True,https://www.tradeport.xyz/sui/collection/0x7f70b2de52a5a57c1b7afec08466af51217e40f083bd52dcaafd8ba53975481d
Legacy,0xff3923e6261d2f979bd5db60929ede5680b41b98d58a419281f1302058e38845,True,https://www.tradeport.xyz/sui/collection/0xff3923e6261d2f979bd5db60929ede5680b41b98d58a419281f1302058e38845
Degen Rabbit,0x93195daadbc4f26c0c498f4ceac92593682d2325ce3a0f5ba9f2db3b6a9733dd,True,https://www.tradeport.xyz/sui/collection/0x93195daadbc4f26c0c498f4ceac92593682d2325ce3a0f5ba9f2db3b6a9733dd
Suigirl,0xaf244cf0469f73dbc430753029dc3fd34ebb2bafbb062192bac16ecf31194bc6,True,https://www.tradeport.xyz/sui/collection/0xaf244cf0469f73dbc430753029dc3fd34ebb2bafbb062192bac16ecf31194bc6
Sui Punks,0x9414ec1700b5c391122cab0bb11781394098ec64403b6aa8b2e64bbef7e9e37b,True,https://www.tradeport.xyz/sui/collection/0x9414ec1700b5c391122cab0bb11781394098ec64403b6aa8b2e64bbef7e9e37b
OWLS,0x12f9712cc5e63b74b400d93e0551c157290e96cd45744f9e7c50d3e3a159ca42,True,https://www.tradeport.xyz/sui/collection/0x12f9712cc5e63b74b400d93e0551c157290e96cd45744f9e7c50d3e3a159ca42
Tails By Typus,0xbd147bc7f12f38f175d78947a61364e8e077b9b188b00e7094bc0c3623162196,True,https://www.tradeport.xyz/sui/collection/0xbd147bc7f12f38f175d78947a61364e8e077b9b188b00e7094bc0c3623162196
