nft_type,nft_collection_name,tradeport_url,object_id,name,image_url,project_url,nft_symbol,creator,description,holder,created_time
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x0003cf33a2555e1b47eeb00ba24d9d37a8ec128e00477f33830cd9b0bf0fabd5,Prime Machin #2550,https://img.sm.xyz/0x0003cf33a2555e1b47eeb00ba24d9d37a8ec128e00477f33830cd9b0bf0fabd5/,,,0xf3ec49a5080e3521e060dbb3b8667a47f369db38ccf6bd292160acf4a1409643,0,0x5c7576c42266ac2df3a82ec1344f73b14c6f7a9e869627b3b8af3b6643ad8387,1712475147253
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x000d00fb2059242cf3cbd858cf3a01fb1f1c203e7f247ab103420c718e35b8db,Prime Machin #3323,https://img.sm.xyz/0x000d00fb2059242cf3cbd858cf3a01fb1f1c203e7f247ab103420c718e35b8db/,,,0x3c5e1e63fcb09456baf9424a02a1758acbfb85f69faa3ee41247f850104cd10e,0,0x36d2f2aab47d9aa996dc8f07bfb41cbb2ff27d9caec868e2f90b7b17d64c2379,1712475154974
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x0029274d346898c4041ada7a5afa09572b4c9aec3ff638838013d9f714e9bd59,Prime Machin #3121,https://img.sm.xyz/0x0029274d346898c4041ada7a5afa09572b4c9aec3ff638838013d9f714e9bd59/,,,0x53701fc8cf2f7b4577261c9387fade069a2783d0fbda96b389506dd719d49344,0,0xef3a464387184f4bfaab68a6e982765a6e9a093531c873c9dffb438d27328c23,1712475154974
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x003d2580ead9e998fe09ab55684b7c9ee855a78d4fd85a0179fd3ac97b2dddfd,Prime Machin #91,https://img.sm.xyz/0x003d2580ead9e998fe09ab55684b7c9ee855a78d4fd85a0179fd3ac97b2dddfd/,,,0xc5747406f1b5a8598f567512763af92f177338c3a0656c01cd1df2120b2537ec,0,0x2d50f8bde912240a159a8ee3656430669257f637f60eabcedc0df775e1300d6d,1712475123536
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x0043259f9e2f9759880d28ec90f817855ff5544f46b6004009762ee7ac95f3a5,Prime Machin #2846,https://img.sm.xyz/0x0043259f9e2f9759880d28ec90f817855ff5544f46b6004009762ee7ac95f3a5/,,,0x9cc3deb4d9e1eca09d882ac53f2840ae32a22b006e73562d414ada272db02539,0,0xa0c04e94822b4c37328a94fbf4953ccd33028ec31018cc2a25ca163fbe0c0107,1712475151196
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x005100b7276eca4975bc21afdeb9b4336bc49e5b6a743b764e23058b5ef92253,Prime Machin #2851,https://img.sm.xyz/0x005100b7276eca4975bc21afdeb9b4336bc49e5b6a743b764e23058b5ef92253/,,,0x3faa0903867622c078534846c3ddcc54c070b0a5372972183adf870835bca4bd,0,0x294ec455710eab4196d41e706db69c34c2900bbbc68f1cab56c7d597b6d66a65,1712475151196
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x0054b23817f93cebe33b3d254e92595c386df80d1d01aa81c8da5c0dce00b8a9,Prime Machin #265,https://img.sm.xyz/0x0054b23817f93cebe33b3d254e92595c386df80d1d01aa81c8da5c0dce00b8a9/,,,0x3fc4f2aa2cea5a142a0ea87132afe02466a0ae79078dfb782b8975c00b7c4415,0,0xe36d0318b5d5539771834e47d760a110a23783df5c65fc1e2acaf05e9b777d8b,1712475123536
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x00565a84138939e38eb8c08ae94cc704beca4c572327d0c98af64f0cb169a944,Prime Machin #3264,https://img.sm.xyz/0x00565a84138939e38eb8c08ae94cc704beca4c572327d0c98af64f0cb169a944/,,,0xb8c471c2b63cb5ca6c36ca155572210fb58fcc0c2bf1ac02b16cbff7efb67514,0,0x4574d63f4ee834c9b3816efe8f7d77a4268bc55f37c527bf93c859a67627a61e,1712475154974
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x005fd8926a7eeed284e8de9b257f7efeb61960eb06d469ef146163c8aa204c4b,Prime Machin #1329,https://img.sm.xyz/0x005fd8926a7eeed284e8de9b257f7efeb61960eb06d469ef146163c8aa204c4b/,,,0xf1a66315ff2af81a2f62a9c15951607fb999f81e454aa0826cc023ed08747ee3,0,0x8f30678991c516fc124dddf7ef04a8b5988b6d15ce723531e3319e7a59a8376a,1712475134266
0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,Prime Machin,https://www.tradeport.xyz/sui/collection/0x034c162f6b594cb5a1805264dd01ca5d80ce3eca6522e6ee37fd9ebfb9d3ddca::factory::PrimeMachin,0x0065bccfcc8e0ad11dcb09f3eb4d0edacdc1e1495dc66aafa031e94317086321,Prime Machin #3004,https://img.sm.xyz/0x0065bccfcc8e0ad11dcb09f3eb4d0edacdc1e1495dc66aafa031e94317086321/,,,0x7742863469f9b73d7c30197be9d9edfc283d6345b016ecdf7a52d9dcff31df91,0,0x56a2506a2cd9d2d7ff936f24cb6ea8749ef0dbed672f1f274c47f26e8b256ce9,1712475154974
